index,herocompare,item_WR,item_id,item_name,itemhero,penalty
0,94,0.4403183023872679,63.0,power_treads,63,2261.395356087189
3,94,0.4296081277213353,212.0,ring_of_aquila,63,2791.861683911013
5,94,0.3815261044176707,36.0,magic_wand,63,4151.139880966201
1,94,0.5120307988450433,168.0,desolator,63,5124.835384261438
8,94,0.6306818181818182,48.0,travel_boots,63,5941.772665876927
2,94,0.5354645354645354,123.0,sphere,63,7199.288161858755
0,104,0.4918330308529946,63.0,power_treads,63,1907.666095944489
3,104,0.4860358482701125,212.0,ring_of_aquila,63,2278.80124459716
5,104,0.4216101694915254,36.0,magic_wand,63,3302.493227643119
2,104,0.5731566820276498,168.0,desolator,63,4156.4814527618
1,104,0.5713141025641025,123.0,sphere,63,5683.144308979785
8,104,0.7100840336134454,48.0,travel_boots,63,5817.521927169301
0,106,0.5531914893617021,63.0,power_treads,63,1595.963857132993
3,106,0.5375761679079215,212.0,ring_of_aquila,63,2074.85991586378
5,106,0.5190311418685121,36.0,magic_wand,63,2665.513942564303
1,106,0.6197530864197531,168.0,desolator,63,3276.691835548281
9,106,0.7025171624713958,48.0,travel_boots,63,4491.859939885055
2,106,0.6235807860262009,123.0,sphere,63,5009.587343391049
